Time tuning gridsearch: 1.1892, 0.0156, 121.61
Time tuning gridsearch: 1.0149, 0.0076, 307.06
Time tuning gridsearch: 0.1521, 0.0005, 291.13
Time tuning gridsearch: 0.6156, 0.0533, 282.15
Time tuning gridsearch: 0.0563, 0.0000, 285.14
Time tuning gridsearch: 1.2376, 0.1384, 357.92
Time tuning gridsearch: 0.5800, 0.0542, 298.01
Time tuning gridsearch: 0.0804, 0.0039, 281.58
Time tuning gridsearch: 1.6462, 0.0010, 361.46
Time tuning gridsearch: 0.5285, 0.0409, 281.82
Time tuning gridsearch: 0.0974, 0.0002, 227.10
Time tuning gridsearch: 1.1781, 0.0443, 343.86
